id,vote_event_id,option,value
eb155cdb-b8a2-406c-b9e5-92709b92db66,ocd-vote/58b1e20f-c415-4a14-bf75-e2f08dedc0c7,no,6
c1af7e98-c1a3-47c9-8bbd-619901611be4,ocd-vote/58b1e20f-c415-4a14-bf75-e2f08dedc0c7,yes,139
ca6f7b56-ab52-47c0-9e65-4327b326789d,ocd-vote/85760cee-85c6-4c34-b283-6119a383c417,no,24
b585c0e1-687c-490a-9a47-9ed4df63b12c,ocd-vote/85760cee-85c6-4c34-b283-6119a383c417,yes,128
5b31a94a-b2a7-461d-8874-ffc984822315,ocd-vote/e118e592-75a1-4f66-9161-9cb0ef05ce60,no,3
f6a77e56-0d8c-42e5-91b7-ddcbe7c2a42c,ocd-vote/e118e592-75a1-4f66-9161-9cb0ef05ce60,yes,150
5700f119-a399-4d18-a938-afc7e0e103ec,ocd-vote/ec87af09-8bd7-484c-b5e7-cc4d895b5e5b,no,23
fa6d8b35-31e4-433b-ba00-e512f3f1300a,ocd-vote/ec87af09-8bd7-484c-b5e7-cc4d895b5e5b,yes,132
4c4cf8ea-2eb0-42c8-8e7f-937238c02886,ocd-vote/f8293174-a70b-4ef3-b391-20e90278cfca,no,0
ac60e235-7301-4260-84d2-390f3266dd58,ocd-vote/f8293174-a70b-4ef3-b391-20e90278cfca,yes,156
477f6c86-5213-4d6c-9c3b-3540f40db2f9,ocd-vote/916fa054-afe7-45e2-9a06-8cb6befd90be,no,3
bf994dbd-1306-4682-a3bd-da61fae7f67c,ocd-vote/916fa054-afe7-45e2-9a06-8cb6befd90be,yes,154
86228f33-17f3-4024-8968-81291432dd49,ocd-vote/eba0c5b1-7f40-4d17-8d33-adfbfcf94c89,no,126
9d27c4c4-f322-450b-920b-325460e293db,ocd-vote/eba0c5b1-7f40-4d17-8d33-adfbfcf94c89,yes,26
44f5fa8f-0bf3-475f-8c6c-a1699c276590,ocd-vote/8e13cd8b-1ae9-4435-8f7d-c905cd26144d,no,0
28a29e72-2e59-4a7b-ab03-c862842e404e,ocd-vote/8e13cd8b-1ae9-4435-8f7d-c905cd26144d,yes,154
ad4c270a-6060-436e-bca1-238c1d36208e,ocd-vote/93b26b17-905a-481d-a614-36057d4415b7,no,129
561e6526-8fef-4036-97d3-28a1d15e691e,ocd-vote/93b26b17-905a-481d-a614-36057d4415b7,yes,25
ff4e5549-8eac-4010-943a-e8569535cf6c,ocd-vote/a6d6b977-3c48-461a-b649-81b052fc3ce7,no,1
46f844d2-66c5-4502-b33c-82579c383cd6,ocd-vote/a6d6b977-3c48-461a-b649-81b052fc3ce7,yes,153
3031e0c1-8065-4719-aaf4-86394e0facf3,ocd-vote/e03b0a00-317f-4e6e-b51f-8038811942a4,no,126
c6135a69-6374-4895-ab77-45f228db7bd4,ocd-vote/e03b0a00-317f-4e6e-b51f-8038811942a4,yes,26
9ba636c1-47f9-4b84-ab50-d11fce8565ad,ocd-vote/70634b72-83a6-4e07-96c8-950f58553989,no,6
385b4071-b562-4d4a-94bf-7bf45807277d,ocd-vote/70634b72-83a6-4e07-96c8-950f58553989,yes,151
d104d972-2a34-4e2a-9f58-22ad0fd20111,ocd-vote/90f6ed45-8911-4cba-b9bf-00353b45eefa,no,0
369ae3a7-9e79-46f6-8a02-d66bdbb5c736,ocd-vote/90f6ed45-8911-4cba-b9bf-00353b45eefa,yes,153
3a9816ff-5b93-4530-95ea-8d8e3933ef90,ocd-vote/5f30305d-9612-4c22-8348-046d301f1014,no,3
fbf049fc-4e20-49f0-aa7e-039b4f536a96,ocd-vote/5f30305d-9612-4c22-8348-046d301f1014,yes,154
9dd987f5-f55d-4e0e-8375-a00efd351c16,ocd-vote/a7cc84fb-544a-46e7-851b-f7d0786cf6c9,no,1
fd7eaeb7-b208-4efe-b148-e2abb4ab3a2d,ocd-vote/a7cc84fb-544a-46e7-851b-f7d0786cf6c9,yes,154
86f47e38-9851-40bd-83bd-fcbaaf3c5f61,ocd-vote/c347463f-3a22-47f1-81d8-41c136452202,no,128
439c5d75-fa72-4168-af26-7b7f43a29cad,ocd-vote/c347463f-3a22-47f1-81d8-41c136452202,yes,23
bb277505-1be7-4feb-a052-41d63f4d1fe0,ocd-vote/64ebd174-ff8e-4748-ae82-9736f335b3c5,no,6
2eeb4759-1f76-436f-94e5-9e0c01ec415a,ocd-vote/64ebd174-ff8e-4748-ae82-9736f335b3c5,yes,150
d51329e3-1496-45d1-b19f-585386576d0f,ocd-vote/5428a889-21d5-488f-9344-ded1b7aadca9,no,128
3589f39e-baa7-4ecd-87f1-f4783b2ad881,ocd-vote/5428a889-21d5-488f-9344-ded1b7aadca9,yes,23
