id,bill_id,related_bill_id,identifier,legislative_session,relation_type
f3f9a930-bf66-407a-8af6-0027b933b2fc,ocd-bill/421ff6e1-23b4-4a33-99e6-781c410d4cde,,HD 4951,194th,replaces
fcc13ec6-962c-498f-b455-3aab45145408,ocd-bill/d09ea9b8-4c0a-4663-80e6-b78c8703999e,,SD 3100,194th,replaces
be3adbd5-ab86-4641-8685-cf1c2cbbe28f,ocd-bill/4ef35e9a-73d2-4d2f-86c2-a9483c518131,ocd-bill/542ee892-8187-419f-bd6a-55222dbf4adc,SD 2857,194th,replaces
9fc37c09-aa38-4bdb-a4eb-4443001f1e75,ocd-bill/d5ee4762-1770-4c8b-943e-5e6faec017ac,ocd-bill/1d953d16-780a-4539-b6dc-9cea6a1ed926,HD 3879,194th,replaces
3a480678-7ae4-4bfa-85ba-9f438aa85709,ocd-bill/612c4b25-2298-4851-903b-769d72c390d9,ocd-bill/612b00ea-0919-482b-a2b2-e0b5341d5a11,HD 4955,194th,replaces
bd1cf2ea-9b17-4e3b-b3d9-5516e8405352,ocd-bill/f1eb9ff5-e7e7-42e9-ad73-75813147d63e,ocd-bill/135f9e79-ee2a-4870-a56d-430727855a85,SD 3055,194th,replaces
ae690244-a442-4cfb-ab1d-1427818559a3,ocd-bill/c3299694-7009-4a66-bc8f-9194d468dff0,,SD 3113,194th,replaces
391bf855-542f-419d-ab52-4943cb9e5b98,ocd-bill/4642243e-9d55-42c1-bcf3-c06ece42dfc8,,HD 5008,194th,replaces
57c1c49b-285f-41e8-9c0c-b479880f82cd,ocd-bill/b01e8667-7c36-45a8-a3d2-679d8c4eaa69,ocd-bill/906e82ae-30e8-48af-b884-401b05d9a2da,HD 4974,194th,replaces
e6a176cb-2937-448a-a289-f5914b1ab025,ocd-bill/4f2a8f75-0247-4502-9755-37a793a7126a,ocd-bill/f87826ba-122c-42e3-a84c-381c35775519,HD 4488,194th,replaces
6618499e-36a3-4b06-be4b-b9f749277e8c,ocd-bill/49c77156-f55a-4cc7-b2b7-73328c0eb765,ocd-bill/f3549bfb-cdfb-4310-a4db-4ca07724aecc,HD 4789,194th,replaces
b0366570-bdb4-45e2-acbe-419eaf84e1cf,ocd-bill/bb41e189-7b73-4730-bb81-1c963ea0b096,ocd-bill/970d698d-cf1f-4774-a7df-82cc7077478e,HD 4765,194th,replaces
c88e7af4-2f6e-43c6-a0e1-9b7d27009074,ocd-bill/2da2049b-48b6-40ea-b10c-d10ba0ecc495,ocd-bill/4f155ed5-1004-4e8b-80e0-0bafc5ecedde,HD 4788,194th,replaces
4cc7eeec-5c74-4a63-bfa2-3dc21a7e1ab7,ocd-bill/9b93ec49-efeb-46e3-aa3b-9a569948726d,,SD 3106,194th,replaces
e8e7d7e5-895e-4f99-b571-ea74b276f4bc,ocd-bill/38b79df2-fcf6-400e-9c03-f1fce983600c,,HD 4905,194th,replaces
8481d2b5-3bad-46df-808c-225e7315af21,ocd-bill/1cbd7118-2d0d-4b68-95db-d8db845b7d47,,SD 3107,194th,replaces
7da78190-f199-40e4-99e1-755e2abc738e,ocd-bill/3e43029d-9a0d-4b6b-a65d-4fa9ead883c2,,HD 4904,194th,replaces
f5ad5fb6-8501-4389-b61a-162ed1eea7cd,ocd-bill/09053d6c-74c4-4d58-8bce-632f280d7d97,ocd-bill/c8a3de29-b212-46f3-8d3c-57358f2858ce,SD 2846,194th,replaces
14cbf187-dae3-4cb7-9579-b3f4014e8482,ocd-bill/281cb651-5cfd-480e-8d72-80712706cfe6,ocd-bill/27815acd-d585-47af-866c-672d6471027f,HD 4976,194th,replaces
ad4b1c3c-aebf-403d-badf-a036a5a0c666,ocd-bill/a53051bd-0d51-4c65-b56e-da2a3122f996,ocd-bill/a7157beb-2241-4c8a-94f5-a917513df234,HD 4978,194th,replaces
4c000688-1820-4052-8430-b6e5d6a20e3f,ocd-bill/4cbe05bf-059e-4f01-b239-48632cd4d83a,ocd-bill/e00a728c-8058-43a7-abb3-f7911a4393a6,HD 4715,194th,replaces
e829afc6-07b9-405c-a780-165a1f72d74f,ocd-bill/7a22b762-9a6e-4a95-ae47-9182841c161f,ocd-bill/99f101c7-b144-4a27-85a9-c4150e1e0938,SD 3072,194th,replaces
31259cc5-8d7d-43f7-8143-093ea34e844e,ocd-bill/4e90348d-4593-4faf-90e8-ec31f2f36aa2,ocd-bill/39989544-e86a-4d1b-a1a6-22e26dfdc683,HD 4718,194th,replaces
c58c8cd4-8b9e-4f81-afd5-fae14f6135fb,ocd-bill/2c41fc9b-45fe-4d26-9adb-dc89089b0616,ocd-bill/61be4f1c-6046-458a-a839-65218d689e61,HD 4523,194th,replaces
f8982321-4b3c-4593-8772-509b1924c175,ocd-bill/3e9624ed-3a64-4829-a82d-f67c6ca8b2a5,,HD 4986,194th,replaces
6ae5244e-d0e6-4e22-9fe2-960136a097bf,ocd-bill/3ff345dd-f49e-4668-bcf0-c419e47d1137,ocd-bill/0a427209-8098-4b1f-a24b-fb36f7654480,HD 4524,194th,replaces
d79d8c47-7303-417e-b054-0a4afee12b2f,ocd-bill/cb38f554-22f7-4ab1-9b11-90e299838cc8,ocd-bill/6c68c1c1-4768-43a3-8e57-dedcc71f74cd,HD 4790,194th,replaces
1614cf1a-298d-4701-90a0-6453c32d35e9,ocd-bill/ec513b6f-a78c-4dc5-bae4-b484b9d3a3d4,ocd-bill/34a9503a-ce55-4d26-bc8a-ade0eeb3275f,HD 4874,194th,replaces
db29fbdf-1bc4-4cee-910e-48c309d579aa,ocd-bill/7bae9590-3fa4-4a66-bac5-0df4a48688c7,ocd-bill/46040b8a-7746-4b5d-939b-629a2dfa3948,HD 4975,194th,replaces
e1c4aaf5-360b-416d-b2cc-8e096430a9d5,ocd-bill/a68fcc0c-81d3-4365-8f20-141e6d65a60f,ocd-bill/333d9374-76ca-4cff-830b-3f387dd5afc3,HD 4772,194th,replaces
1d03aa46-2a8b-4150-9640-9cd72476cace,ocd-bill/2b5876c4-91e0-4928-94df-e6dfee0a4050,ocd-bill/61cc1cb6-0d0c-4c1e-a0e2-ce083ccaa544,HD 4969,194th,replaces
6de04d4d-6e97-4f81-89af-fce1c2ef3d89,ocd-bill/f10a9e28-96b3-4cf4-bbc3-253ae23ab8c5,ocd-bill/367a2abb-d60d-42f9-a23e-cc19fe371268,HD 4977,194th,replaces
991bf5ae-d199-47d2-a14e-0fead4d9a437,ocd-bill/b7e2ff49-12be-4dbc-b958-6bad9ba2d133,ocd-bill/1c6682a4-5561-4f1a-9717-fac0c401d7ad,HD 4507,194th,replaces
4c0a0f53-fd53-481c-8518-0eb3a1767b6c,ocd-bill/79a7eea4-c31d-439c-b163-fdd1053bbc07,ocd-bill/baaec2bf-8044-4c67-ae5d-cdc377ba6cb7,HD 4572,194th,replaces
47ba3e02-263a-43f6-ae41-b3d2acf9fa53,ocd-bill/4138bd0d-5954-4b42-b2b8-5d4a752a6171,ocd-bill/b5b7c8fe-9589-46ff-bec2-802f147d0103,HD 4525,194th,replaces
253846e3-9991-4cea-8883-ed19ebee8268,ocd-bill/d79e2dd5-6e9a-4d19-86a8-b10220ad36dc,,HD 5011,194th,replaces
cf2c3760-151f-4d3a-8ff7-dbd6650cb846,ocd-bill/6fb8bba8-dfdf-4e6c-b669-548b9df11481,,HD 5115,194th,replaces
a9379347-a62f-4034-a753-27638f2739bb,ocd-bill/21176833-9508-443c-bf39-a7477a821bfd,,HD 5108,194th,replaces
15fcf442-972e-4e8b-bba1-f141497e7cd5,ocd-bill/b894f811-ac70-4079-9af3-5dfbc57ef269,ocd-bill/7a148718-5848-4d41-9ba3-68697b87b71e,HD 5101,194th,replaces
4a59640b-9568-4633-85a6-ac86f0c07b4f,ocd-bill/9303da41-3ada-4288-93ee-e0a89be596d1,,HD 5105,194th,replaces
bc6b044c-f1ce-4992-99af-8e4e528d0423,ocd-bill/4e7c147d-ac71-4fcb-982d-cde973639f96,ocd-bill/ce3f5dbc-c5b1-43fe-9c3a-bd67907a0f09,HD 5087,194th,replaces
e5d7ad86-5a8a-4373-ab02-0b35132df106,ocd-bill/ebb0bae3-b86e-431c-89a0-d0c91e617928,ocd-bill/ae37eee6-51f7-4acb-9eea-4745df4cff9f,HD 4929,194th,replaces
ebb11f7f-08c8-4e70-a1d8-1b7929b7325c,ocd-bill/3891561f-4b06-4fc0-bc8b-1a1565c6aa1f,,HD 5022,194th,replaces
18a82447-2a8c-47ee-9a23-1dbd67e0af0b,ocd-bill/63a17fc4-a83c-436b-9191-c7bf830f8122,ocd-bill/0b9ca8f1-7087-4f70-a958-95cff2e40262,SD 3028,194th,replaces
68ad1e09-db69-473d-9708-af725ed7296a,ocd-bill/47030094-a94e-4c87-87ad-675fdc1abbf6,ocd-bill/1e805638-054a-4051-a4e0-becd25158b5f,HD 5103,194th,replaces
ac8b6de7-b9ee-46ca-b80b-5fd4a18c3ff6,ocd-bill/84b4f8a4-e473-47a2-8f48-9af489728566,ocd-bill/1c9fb591-178a-463f-bfac-ad9e2a646dc0,SD 3088,194th,replaces
6314a768-39d5-49d7-9c53-c7639eb2e30a,ocd-bill/c734f023-7dbe-464a-be62-83948b2d99fd,ocd-bill/cf4784a0-cd7a-4151-8c39-917e0fc85ca0,HD 4996,194th,replaces
3428ea51-d3db-469c-a1d0-b274c154e424,ocd-bill/401c9053-a2e8-4cc1-9b51-90ce2c2448af,ocd-bill/8e3c03fb-a1a9-4a7d-bad0-f84f328c3265,HD 4745,194th,replaces
ee8ed6ee-252f-4a19-9195-8a1da0f54784,ocd-bill/0d2124ce-f816-4bc5-844b-6d3ff54b7bdd,ocd-bill/a7251b86-e5aa-4dbe-bef0-c5bea40b151e,HD 5100,194th,replaces
5d39f204-77a0-4fc3-8d93-428348fe03a2,ocd-bill/4d7ba557-9c4c-4d83-a2f6-a1b7e4d7b474,,SD 3424,194th,replaces
