id,bill_id,identifier
35c3b4c4-b75b-40de-a37b-64c7d9c0f486,ocd-bill/2ce9be85-eec3-4fe4-addc-57cbb3f485ec,ocd-bill-ma-194th-h2354
955615cc-41e1-44cd-bec3-27f288ead063,ocd-bill/28dcda4c-7631-4b25-b24d-dafbbcf87d83,ocd-bill-ma-194th-s2537
2f978e37-00e0-4f10-8281-da3e83023ffc,ocd-bill/bfdc8f08-f234-418c-9b36-a8748762e9f1,ocd-bill-ma-194th-s2907
350ee2ee-a782-4023-8833-8c592c14f44c,ocd-bill/cd6a58d4-c180-4557-8efa-fb4c072e6791,ocd-bill-ma-194th-sd3009
b328d476-2409-43c2-82d3-6b6164ee6ee1,ocd-bill/502976af-d997-4662-b711-4a4ee8948bfa,ocd-bill-ma-194th-h3905
a42ac6c1-fa70-43cc-96bb-6b8a0ed2ca0c,ocd-bill/546d1e13-22ac-452c-890f-0353053c49d7,ocd-bill-ma-194th-s2544
a61c9a9c-dfa0-4a4f-a0ef-431abb62d9a5,ocd-bill/5cba7638-e812-4e9c-b7d5-b859b0e72e7b,ocd-bill-ma-194th-sd2747
8b0ac5f3-6b07-4510-b28c-cf5b11ff2555,ocd-bill/83202fe0-8237-4a9f-be49-bfb3dad4f498,ocd-bill-ma-194th-h4147
dc12ed70-aa4e-4849-b9c3-dcc818d4b837,ocd-bill/6f979874-f36e-4a2c-92f0-c13b76601d6d,ocd-bill-ma-194th-h2202
8e5add3b-b0a0-4ffc-9211-24732b834cd8,ocd-bill/0318a93b-baba-4d07-929b-cc14ae2e3b2b,ocd-bill-ma-194th-sd2879
c91f706a-d21a-4a2b-9cf1-dca91563cc31,ocd-bill/b9b652fa-80e2-4516-8dfa-a52674508d3e,ocd-bill-ma-194th-hd4553
cd16e13e-3806-4c22-87be-1fba5e7eaea2,ocd-bill/bedb00d8-534c-4ae4-be2c-2c5cf3afdb9b,ocd-bill-ma-194th-hd4590
86518416-81ec-4241-a6c0-e63828371f9a,ocd-bill/36ce546f-5d51-486a-8737-0486f7d2aff3,ocd-bill-ma-194th-sd2720
cbd5f659-ec29-4a27-817a-04e5f8165335,ocd-bill/461fdf6f-6927-41ab-af55-bedda71d663d,ocd-bill-ma-194th-h4134
8ed2092e-1806-4335-b118-abb6deb6efef,ocd-bill/fae6c974-5fb5-40a3-80eb-8d57188849d9,ocd-bill-ma-194th-sd2815
d79b48ac-0c04-40a3-b232-b39e3fb26123,ocd-bill/92e04780-f4c2-4083-bd7e-c8f145101c17,ocd-bill-ma-194th-h148
1bc4c1c5-396f-4614-a66f-f3d16a579854,ocd-bill/a8f654cd-89d4-4403-866c-de9be9cb0021,ocd-bill-ma-194th-h4092
370e656a-d502-4cf5-8da8-ebaf6099eb31,ocd-bill/45755dcd-aa1c-495f-87c8-501fd1341c17,ocd-bill-ma-194th-h5159
8814fdc5-d93b-4401-ab5f-8417f8ef677d,ocd-bill/db95ceb3-3860-40d8-b479-61c41bd434e7,ocd-bill-ma-194th-sd2724
60e1a450-fbae-44fe-b3db-182407a031fe,ocd-bill/f8fcec98-be88-4a1f-8f4a-175ce01c809f,ocd-bill-ma-194th-sd2960
211197b7-818c-4b02-96c2-3f848583df9f,ocd-bill/71ecddb5-f1c0-43f7-b135-7173b12dd39c,ocd-bill-ma-194th-sd2767
446d084a-6e90-4fa3-aac9-bda12a1b7b22,ocd-bill/08ed9eff-306d-40e7-8e2d-1b55be91e093,ocd-bill-ma-194th-sd2933
7016fbe9-c81d-4a34-9655-a6190214ccaf,ocd-bill/a608696f-a3bd-4a27-acec-27ed65493e59,ocd-bill-ma-194th-hd4695
d1ee31e2-797e-481d-8b92-974388b474e9,ocd-bill/085e456c-b301-4b1e-99a6-f3b277c4ccf9,ocd-bill-ma-194th-hd4463
0c0c32b3-ecbe-4435-ab48-22842db9dbe6,ocd-bill/e6af08d4-eb5d-4da2-bf7e-3c249a4676b3,ocd-bill-ma-194th-hd4515
b1045cd1-9be6-4af6-8c19-6c3e4b9800a8,ocd-bill/160b99b0-b0fc-4816-b90a-9404d61d7f86,ocd-bill-ma-194th-s2523
6248db63-d74d-44dc-8132-991b9aa01040,ocd-bill/15265e16-1ed7-4686-ab1e-58e6c8b0e574,ocd-bill-ma-194th-hd4605
1f1b788e-5232-42de-beff-8d41319780d6,ocd-bill/b7dfcd41-f8de-47ce-b81e-7bf0fa221c85,ocd-bill-ma-194th-h2014
a91663a0-e12d-4093-9a38-1579f84abdcd,ocd-bill/c6a467d5-66ae-411a-805b-4f9a30a9fe25,ocd-bill-ma-194th-h4326
216456d1-6f06-49be-801e-a9e55681195a,ocd-bill/ead2a297-98da-4554-b5ab-4eaff0dee6c1,ocd-bill-ma-194th-h3894
65f76386-71a1-437c-a362-a2fe1bd3d815,ocd-bill/836f36b2-625a-44e4-918b-a6b3ea26c269,ocd-bill-ma-194th-hd4708
ee287396-d64d-47e1-9685-9e4a9b644c0f,ocd-bill/7d9cba41-9687-49d8-a820-7bf355c8ede4,ocd-bill-ma-194th-h3909
93dce4f0-183e-4a43-aa45-17ed38b09206,ocd-bill/ea25edb8-67a4-4b7d-a1d1-141b3469bf69,ocd-bill-ma-194th-hd4315
b990fcb6-0511-4af7-b358-4c4b9a68c30b,ocd-bill/08fdf387-1c5a-4454-8bbc-c5f9e848e0b0,ocd-bill-ma-194th-hd4623
3bdaa809-cc95-433d-a83c-5403fd38d4c0,ocd-bill/d95b85a7-a4a8-4af0-9053-6105f2dd8d49,ocd-bill-ma-194th-h3637
1cc136bb-f132-4e75-a3e8-088dce474046,ocd-bill/4f72f471-91e8-46e0-b416-3916b65e1ae4,ocd-bill-ma-194th-h4094
a1149807-ec30-4130-8484-39b5464414c5,ocd-bill/7c8a24ee-e825-409c-b1ac-a214581bde65,ocd-bill-ma-194th-hd4583
e7b7288b-708e-446a-bcf6-e1c18fd5103c,ocd-bill/b675b690-aac9-4d5e-8e05-82152c33d2e7,ocd-bill-ma-194th-h2334
e9e7fc73-20bf-4742-9e7b-1c1df731075d,ocd-bill/5d6c598e-3cba-4aa3-bbeb-cf5050087978,ocd-bill-ma-194th-sd2797
90a6aa79-e762-4681-a6f8-0c52c6b7ada7,ocd-bill/1b557366-9423-4324-843b-1cfadbeacbee,ocd-bill-ma-194th-hd4602
5f23946a-ccf7-4289-b2b6-b1a009a282a4,ocd-bill/79a7eea4-c31d-439c-b163-fdd1053bbc07,ocd-bill-ma-194th-h4057
7f82b381-b05f-4c67-b433-ebc13dc5600e,ocd-bill/f7d18d48-ca39-4bb8-82a5-140a77b690cf,ocd-bill-ma-194th-sd2761
58b3417a-ea96-4ac8-882e-5fcfc4c4bf4a,ocd-bill/7e727258-74b2-44f7-90cd-f3d9f70ed9a7,ocd-bill-ma-194th-hd4681
c4290cfc-f063-4490-8d91-b71c06b9c37b,ocd-bill/c6145429-6766-4e90-96d2-3e8d429a03e0,ocd-bill-ma-194th-h3935
8f61ffaf-2d88-492b-b3c9-c5982ac6a795,ocd-bill/45c8b019-8c94-4517-b92c-4ec1afbf7f5d,ocd-bill-ma-194th-sd2976
f56467a9-6e5b-4be3-967a-b897d2f66e8f,ocd-bill/9c4eaea4-25e7-43a1-8029-2147c0987096,ocd-bill-ma-194th-sd2823
d0acc20b-e127-4696-b31b-163947b529ed,ocd-bill/d79a6676-80ec-41b0-9f61-a91aeb82ab32,ocd-bill-ma-194th-s2506
8a59ae71-908c-432f-b3a2-c1bec1b5d78e,ocd-bill/31260400-ab5a-4a16-bdea-2c570570f3b8,ocd-bill-ma-194th-hd4392
faac296f-7683-4879-926d-ee4a2745ac99,ocd-bill/4632c309-c5ca-4a13-b290-be657fc16b14,ocd-bill-ma-194th-hd4272
7ff89220-7ea4-42b0-9188-e0639a086534,ocd-bill/5ad1c6d1-facc-4e8d-9a0c-d1e146c570e3,ocd-bill-ma-194th-h4005
3ee1009c-0a0e-44a2-8527-6943fdb1e863,ocd-bill/0d63746f-825b-4f09-bd91-5aecca9b8b8d,ocd-bill-ma-194th-hd4393
2e93d127-0a2d-4921-ab2e-6f7d9548325b,ocd-bill/0cffbf0b-b877-4c08-972e-8592352e0833,ocd-bill-ma-194th-h3936
40537741-4c83-4d2c-8a77-e8323dd80435,ocd-bill/d7bb7051-28f4-4897-8b4e-10f032ca6a03,ocd-bill-ma-194th-sd2877
c4e2b172-5762-4bec-8544-da24ef59b483,ocd-bill/dc2c0d71-4391-411e-adce-73efc73f2921,ocd-bill-ma-194th-h4685
0e8b00ee-09c7-4b49-9182-91bcdfca28e5,ocd-bill/fd19c105-5ee6-4f0a-8b7c-8f322e4a3fcd,ocd-bill-ma-194th-h4182
