id,identifier,title,classification,subject,session_identifier,jurisdiction,organization_classification
ocd-bill/9fb9f3e7-f627-405a-8ad9-0f162824460d,H 269,An Act relative to cider,['bill'],[],191st,Massachusetts,lower
ocd-bill/8c905876-2202-4544-9cd4-6a2b864702af,SD 2775,Massachusetts Rehabilitation Commission 2019 Annual Report,['bill'],[],191st,Massachusetts,upper
ocd-bill/75cb7c9d-2773-42d4-a62a-2a5191db1be8,H 5201,"Amendment Order for House Bill No. 5179, “An Act providing for access to reproductive health services”",['bill'],[],191st,Massachusetts,lower
ocd-bill/dca45ffe-dda2-479b-ae1e-43ac1cec7899,HD 2641,An Act relative to statewide grand juries,['bill'],[],191st,Massachusetts,lower
ocd-bill/f8d0aa30-fb49-4dc6-a19d-0803cfaf37b2,S 2905,An Act relative to parentage to promote children's security,['bill'],[],191st,Massachusetts,upper
ocd-bill/60e7f754-9aea-4cf3-a7f4-ff851d167e4b,H 4804,Amendment H.4804,['bill'],[],191st,Massachusetts,lower
ocd-bill/0fa3c774-45af-48f3-987a-3d3c1fb7518b,S 2778,An Act establishing collective bargaining rights for TNC drivers,['bill'],[],191st,Massachusetts,upper
ocd-bill/53dbe192-6396-490c-a812-f8d6a5656921,S 2217,"An Act furthering rate equity, access, and affordability in community hospitals",['bill'],[],191st,Massachusetts,upper
ocd-bill/9dbcc12a-beb5-459a-bf20-d1ce9ea8aa98,H 2111,An Act relative to multi-year licensing,['bill'],[],191st,Massachusetts,lower
ocd-bill/4ef6172c-aeab-4d5b-82db-68bc04aeab60,H 2774,An Act relative to preference for products or services manufactured or produced in the United States,['bill'],[],191st,Massachusetts,lower
ocd-bill/80b04262-57a0-4503-8af6-84b5e382f6f9,S 2156,Resolutions in support of a congressional investigation regarding impeachment of President Donald J. Trump,['bill'],[],191st,Massachusetts,upper
ocd-bill/604db935-34de-4602-b80a-e7daa9e37f9b,H 3531,An Act relative to the repeal of the legalization of marijuana laws in the Commonwealth of Massachusetts,['bill'],[],191st,Massachusetts,lower
ocd-bill/1f20c3a6-7865-4680-a4dd-b4a1c9c9a8cf,H 3844,An Act relative to safe building materials,['bill'],[],191st,Massachusetts,lower
ocd-bill/2cd408e8-35d7-4dde-89b3-060b2fe7cac5,S 2077,"An Act allowing in specific situations, motorcyclists use of a breakdown or access lane, or splitting travel lanes",['bill'],[],191st,Massachusetts,upper
ocd-bill/afb5388d-80af-4bf4-85f9-58222d199bba,H 4070,An Act relative to the authority of the Massachusetts Gaming Commission,['bill'],[],191st,Massachusetts,lower
ocd-bill/55b34269-fed1-45ec-b796-7ebc595d1d7d,H 4746,An Act for unemployment rules for gig economy,['bill'],[],191st,Massachusetts,lower
ocd-bill/d939996b-fb1a-4e7c-a26d-ecb38656f96d,H 3891,An Act establishing oversight and accountability in the implementation of tax expenditure commission recommendations,['bill'],[],191st,Massachusetts,lower
ocd-bill/6e49f790-39f8-4b7e-8d09-5163548eb6c7,H 4276,An Act to preserve the practice of including annual payments in lieu of vacation as regular compensation for current retirees and active retirement system members where such benefit existed as of May 2018,['bill'],[],191st,Massachusetts,lower
ocd-bill/77ffcf7b-df50-4880-b197-7013e194baa9,S 2791,Amendment S.2791,['bill'],[],191st,Massachusetts,upper
ocd-bill/4501ba2c-fae8-4c75-b733-457edb46f27d,S 1685,An Act to ensure affordable health connector coverage,['bill'],[],191st,Massachusetts,upper
ocd-bill/faad423b-2970-431c-9a2c-b37a9c0211b1,H 2026,An Act relative to the Department of Fire Services Commission,['bill'],[],191st,Massachusetts,lower
ocd-bill/19bad7d8-b7e5-4feb-b785-518ba1a04667,H 3209,Resolve relative to recognition for the naval armed guard service,['bill'],[],191st,Massachusetts,lower
ocd-bill/2e483fa1-423c-4dc6-92fe-8b66218c745d,H 2330,An Act relative to the collective bargaining rights for employees of the Committee for Public Counsel Services,['bill'],[],191st,Massachusetts,lower
ocd-bill/a2f031cf-7a80-4eb5-aab5-a01fbf6c7ed0,H 67,"An Act  Annual report of the Public Employee Retirement Administration Commission (under sections 21, 102 and 103 of Chapter 32 of the General Laws) relative to the percentum change in the average cost-of-living as shown by the United States consumer price index for the year 2018 compared with such index for the year 2017.",['bill'],[],191st,Massachusetts,lower
ocd-bill/e7cf676f-88a8-4c9d-85f1-ccaa27c12819,S 1526,An Act relative to further defining employees classified in Group 4,['bill'],[],191st,Massachusetts,upper
ocd-bill/e2ad1f5f-1880-4d3d-9816-4c6e8428cb9e,S 482,An Act regarding a farmland protection and viability action plan,['bill'],[],191st,Massachusetts,upper
ocd-bill/0923a7da-c33f-405a-a056-be275f0a7f0a,H 104,An Act to lift the cap on kids,['bill'],[],191st,Massachusetts,lower
ocd-bill/d20cf5a0-ff8f-4a6c-a94c-acbaf0c01923,H 4265,An Act to assure informed consent for pelvic examinations of anesthetized or unconscious patients,['bill'],[],191st,Massachusetts,lower
ocd-bill/361dbfc4-9b4a-4239-85ab-fd4a6bb231dc,S 560,An Act relative to preserving fertility,['bill'],[],191st,Massachusetts,upper
ocd-bill/d25b2e4b-9953-4b8c-81ce-73e29ae3e64d,H 1093,An Act relative to unemployment insurance benefits for replacement workers,['bill'],[],191st,Massachusetts,lower
