id,bill_id,abstract,note
69b6baae-d64b-4152-bef0-58ae14ddf803,ocd-bill/3e0d8d65-0fc3-4795-bbeb-df8db95b1cb1,"By Representative Hunt of Sandwich and Senator Moran, a joint petition (accompanied by bill, House, No. 4846) of Randy Hunt and Susan L. Moran (by vote of the town) relative to the appointment of a school committee member in the town of Sandwich.  Municipalities and Regional Government.  [Local Approval Received.]",summary
9b0a6c47-1f47-4280-9f8a-dc72caa1ed7f,ocd-bill/daea6ccf-6fff-435b-ba25-795013d945d7,"Senate, June 29, 2020 -- The committee on Senate Ways and Means to whom was referred the Senate Bill authorizing the division of capital asset management and maintenance to dispose of certain parcels of land in the city of Brockton (Senate, No. 2352),- reports, recommending that the same ought to pass with an amendment substituting a new draft with the same title (Senate, No. 2782).",summary
1d1fccc1-93a5-4768-affc-d4ca2cca0dfe,ocd-bill/a3a0b905-3462-4e33-810d-36b723bb8b55,"Senate, July 10, 2020 -- The committee on Senate Ways and Means to whom was referred the Senate Bill to expand take-out/delivery options in response to COVID-19 (Senate, No. 2740),- reports, recommending that the same ought to pass with an amendment substituting a new draft with the same title (Senate, No. 2812).",summary
2f2053c4-ae73-423a-9ec0-6b4555d7d63d,ocd-bill/ce8f201b-9bf2-47bf-b543-58d489706c25,"Text of an amendment, recommended by the committee on Ways and Means, to the Senate Bill to mitigate arbovirus in the Commonwealth (Senate, No. 2757). July 9, 2020.",summary
c68f54d3-03aa-4817-a088-88d355016da4,ocd-bill/35b71cd7-c29f-433a-99c3-290cb4119d4f,"By Mr. Puppolo of Springfield, a petition (accompanied by bill, House, No. 4848) of Angelo J. Puppolo, Jr., (by vote of the town) relative to the appointment and removal authority of the town administrator of the town of Wilbraham.  Public Service.  [Local Approval Received.]",summary
39e970c8-5ce6-4c50-8b43-bdc8414f4017,ocd-bill/23193d78-3242-4adb-9455-4bbdfb6c1724,"Senate, June 29, 2020 -- The committee on Senate Ways and Means to whom was referred the Senate Bill authorizing the release of an agricultural preservation restriction of certain land in Plymouth (Senate, No. 2335),- reports, recommending that the same ought to pass with an amendment substituting a new draft with the same title (Senate, No. 2781).",summary
67f20f94-a6d9-4c24-8439-6591d18bc6ef,ocd-bill/ea5fd89e-34f1-4583-8a6c-00e30e695f83,"By Mr. Eldridge, a petition (accompanied by bill) (subject to Joint Rule 12) of James B. Eldridge and Danillo A. Sena for legislation to establish the Massachusetts Works Progress Administration.  Labor and Workforce Development.",summary
f855c7f2-14f0-4b24-9762-49eb36e1b2b7,ocd-bill/20751c64-64bd-4002-8f5c-2d726b884d78,"House bill No. 4841, as amended and passed to be engrossed by the House.  July 9, 2020.",summary
24c3a1c5-30ca-4c47-bb33-25055b6c4c5a,ocd-bill/057ce6cf-3494-4efd-a320-6e15c37b3805,"By Ms. DiZoglio, a petition (accompanied by bill) (subject to Joint Rule 12) of Diana DiZoglio for legislation relative to designating certain portions of interstate highway route 495 as the Susannah North Martin Highway.  Transportation.",summary
f71756bd-1fa1-45f0-8b36-43d422fcb939,ocd-bill/6ebfec12-46b9-47d5-a770-e55d2f49e196,"Text House document numbered 4843, being an amendment, recommended by the committee on Ways and Means, to the Senate Bill to mitigate arbovirus in the Commonwealth (Senate, No. 2757), as amended by the House. July 9, 2020.",summary
