id,identifier,title,classification,subject,session_identifier,jurisdiction,organization_classification
ocd-bill/2f0a5577-13ca-4529-b2b7-72d17f986219,HD 5055,"A report of the Special Legislative Early Education and Care Economic Review Commission established (under Section 106 of Chapter 227 of the Acts of 2020, as amended by sections 90 to 93, inclusive, of Chapter 24 of the Acts of 2021, and most recently revived and continued by Section 70 of Chapter 42 of the Acts of 2022) to make an investigation and study of expanding access to quality early education and care",['bill'],[],192nd,Massachusetts,lower
ocd-bill/27786c33-ccf5-48ef-94cd-24a27555ad21,HD 5503,An Act relative to the Lowell Civic Stadium Commission and Edward A. LeLacheur Park,['bill'],[],192nd,Massachusetts,lower
ocd-bill/9c80d4e5-7bc1-488d-a14a-2a634fb5b031,HD 5496,A communication from the Executive Office of Health and Human Services (see Section 46 of Chapter 41 of the Acts of 2019) submitting the MassHealth Drug Pricing Report,['bill'],[],192nd,Massachusetts,lower
ocd-bill/dd9af326-a40b-426f-bf0e-1b96ff1adf3a,HD 5506,"A communication from the Department of Veterans’ Services (see Section 12 of Chapter 115A of the General Laws) submitting its 2022 report on the state of the Commonwealth’s two Soldiers’ Homes [copies of said report were forwarded to the joint committees on Veterans and Federal Affairs, Public Health and Housing, as required by said law]",['bill'],[],192nd,Massachusetts,lower
ocd-bill/b6eca19c-448e-47fc-b34d-9fb6cc2a9e8d,HD 5500,"Annual report of the Middlesex County Restoration Center Commission (under Chapter 69 of the Acts of 2018, as amended Chapter 126 of the Acts of 2022) submitting year four findings and recommendations",['bill'],[],192nd,Massachusetts,lower
ocd-bill/4fade6b5-a758-4b0b-9214-e29aa55e799b,HD 5493,Annual report of the Disabled Persons Protection Commission (under Section 15(f) of Chapter 19C of the General Laws) submitting a summary of the Abuser Registry maintained by said commission,['bill'],[],192nd,Massachusetts,lower
ocd-bill/aaa214d5-f430-4959-a395-d798e439b424,HD 4562,An act authorizing the Massachusetts State Retirement Board to grant credible service to John Farrell,['bill'],[],192nd,Massachusetts,lower
ocd-bill/0e4953b9-5e0f-4390-a528-c58a8e824330,H 3949,An Act re-designating a certain bridge in the city of Lawrence,['bill'],[],192nd,Massachusetts,lower
ocd-bill/80003020-a484-44e3-9503-17e581f286bb,H 3951,Amendment H.3951,['bill'],[],192nd,Massachusetts,lower
ocd-bill/c2995dca-330c-403d-b72e-ad92ce958f51,SD 2696,Plymouth County Sheriff Q2 2021 Criminal Justice Report,['bill'],[],192nd,Massachusetts,upper
ocd-bill/3fcd78cd-4de5-49d9-9dda-eeadbd2212eb,SD 2701,DUA May and June 2021 UI Trust Fund Reports,['bill'],[],192nd,Massachusetts,upper
ocd-bill/6f3c1e41-3e7f-4df5-8520-6003312937a7,SD 2698,An Act relative to retirement buy back into the Massachusetts State Retirement system for Brian Morse,['bill'],[],192nd,Massachusetts,upper
ocd-bill/47d4e2ba-efd3-41ab-8617-4c7cf334f1f0,SD 2700,"Communication from the Office of the Comptroller (pursuant to Section 6B(b) of Chapter 29 of the General Laws) submitting its revised quarterly report on the status of federal funds applied for, received and expended in the third quarter of fiscal year 2021",['bill'],[],192nd,Massachusetts,upper
ocd-bill/a2d01305-68e9-4db9-a214-5f9dc21549d9,SD 3034,An Act creating a Merrimack Valley Regional Transit Authority alert system,['bill'],[],192nd,Massachusetts,upper
ocd-bill/ca3e94b1-1d55-4867-b7bb-9fb642bff29e,H 4891,An Act addressing barriers to care for mental health,['bill'],[],192nd,Massachusetts,lower
ocd-bill/896c105c-3efd-478e-89f3-64cdf18d1f3f,SD 521,An Act to ensure gender parity and racial and ethnic diversity on public boards and commissions,['bill'],[],192nd,Massachusetts,upper
ocd-bill/dec1ea36-e715-4993-844e-787b0c02086f,HD 922,An Act relative to plastic bag reduction,['bill'],[],192nd,Massachusetts,lower
