id,bill_id,abstract,note
40b6fce3-cd97-4616-bc43-03779eabe309,ocd-bill/f7f630f6-ff02-43b7-8f79-0005a2e1c9cb,"SENATE, July 18, 2018 - The committee on Rules to whom was referred the Senate Bill making technical changes to the laws regulating a certain notarial act (Senate, No. 2312),-- reports, recommending that the same ought to pass with an amendment substituting a new draft with the same title (Senate, No. 2615).
",summary
7d6f2747-dcbf-42d4-bf50-d77847815142,ocd-bill/9b751046-1b5e-471a-b2ff-31f0b126f843,"By Representative Peake of Provincetown and Senator Cyr, a joint petition (accompanied by bill, House, No. 2375) of Sarah K. Peake and Julian Cyr (by vote of the town) that the restoration of the Old Firehouse in the town of Orleans be exempt from certain provisions of the prevailing wage laws.  Labor and Workforce Development.  [Local Approval Received.]",summary
a9e46de3-f9cc-49f3-8865-6970a59beb81,ocd-bill/d148731d-3f70-4da1-8d83-8be11aa142db,"By Representative Berthiaume of Spencer and Senator Gobi, a joint petition (accompanied by bill, House, No. 4763) of Donald R. Berthiaume, Jr., and Anne M. Gobi (by vote of the town) relative to the health insurance and other benefits in the town of East Brookfield.  Public Service.  [Local Approval Received.]",summary
c02e3161-b263-4ca8-b17c-88227d844a7d,ocd-bill/52acfa9d-7f09-471e-b8fe-fb71752df107,"Report of the committee of conference on the disagreeing votes of the two branches, with reference to the House amendments to the Senate Bill to promote and enhance civic engagement (Senate, No. 2375) (amended by the House by striking out all after the enacting clause and inserting in place thereof the text of House document numbered 4545, amended),-- reports, in part, a “Bill to promote and enhance civic engagement” (Senate, No. 2631).",summary
e64607b5-fb09-4533-ad1a-269f35f3c2db,ocd-bill/da59740f-80db-477b-b5ed-8ae5a67279de,"By Mr. Day of Stoneham, a petition (accompanied by bill, House, No. 511) of Michael S. Day and others relative to motor vehicle insurance premiums.  Financial Services.  ",summary
6c691919-4f09-4439-ae7b-ccbd78cc955a,ocd-bill/bfcddf48-ccf2-462d-99f2-a80616ba024f,"By Mr. Carvalho of Boston, a petition (accompanied by bill, House, No. 2390) of Evandro C. Carvalho, Daniel Cullinane and Carlos Gonzalez relative to a statewide study of treatment options to the ongoing opioid crisis.  Mental Health, Substance Use and Recovery.  ",summary
73158aba-76fe-421a-862c-d429444c5f26,ocd-bill/69b730d7-c15e-47dc-8220-6637a893b1d7,"By Mr. Frost of Auburn (by request), a petition (accompanied by bill, House, No. 3055) of Paul Nordberg relative to claims and indemnity procedures.  The Judiciary.  ",summary
2242b896-1530-444e-a4bf-448b6b4ac668,ocd-bill/f923ec7b-9d69-47ad-8611-2fdf76b24875,"By Mr. Scibak of South Hadley, a petition (accompanied by bill, House, No. 1628) of John W. Scibak and others for legislation to provide an income tax credit for the purchase of hearing aids.  Revenue.  ",summary
db4a3af6-0e0d-43ee-8eaf-22f6d845dd15,ocd-bill/5e4a0bdc-368c-4370-a19d-d353f5080c6b,"By Ms. Donoghue, a petition (accompanied by bill, Senate, No. 837) of Eileen M. Donoghue, James R. Miceli, Sarah K. Peake, William Crocker and other members of the General Court for legislation to criminalize the trafficking of carfentanil.  The Judiciary.  ",summary
69171e1e-67e9-4bde-a8ad-aebe56c5c7fc,ocd-bill/406216c2-dfce-41cf-b9e5-f2f03bf9856a,"By Mr. Chan of Quincy, a petition (accompanied by bill, House, No. 1730) of Tackey Chan and James R. Miceli relative to the use of double utility poles of distribution or telephone companies.  Telecommunications, Utilities and Energy.  ",summary
ebd6dbfe-fc37-4183-a891-8be97228e6e4,ocd-bill/f7294d72-42e0-4c28-9f95-6095e8a931e8,"By Mr. Ayers of Quincy, a petition (accompanied by bill, House, No. 1475) of Bruce J. Ayers and James M. Murphy relative to providing property tax relief for small business owners.  Revenue.  ",summary
074f5a1c-ab11-43d2-ab06-64e20f0ab6ab,ocd-bill/34fa96ca-e402-49fe-861e-1d3f9624d390,"By Mr. Moore, a petition (accompanied by bill, Senate, No. 463) of Michael O. Moore for legislation relative to out of state mooring.  Environment, Natural Resources and Agriculture.  ",summary
7dcea3d3-06e5-4bed-adc5-61f34f8f9bf7,ocd-bill/8707f924-bf5a-488c-ae28-2751d251fe2c,"Report of the Cape Ann Transportation Authority (pursuant to Section 8(g) of Chapter 161B of the General Laws) submitting its financial statements and supplementary information for the year ended June 30, 2017.  ",summary
c0c518a5-4940-4269-8c77-7e26f381c733,ocd-bill/4fd7a0b6-8216-42bc-be24-b79e11732ad7,"By Ms. Cariddi of North Adams, a petition (accompanied by bill, House, No. 1657) of Gailanne M. Cariddi and Adam G. Hinds for legislation to authorize the commissioner of the Division of Capital Asset Management and Maintenance to grant certain easements in the town of Lanesborough for the purposes of reconstructing a bridge on Narragansett Avenue over Lake Pontoosuc.  State Administration and Regulatory Oversight.  ",summary
