id,identifier,title,classification,subject,session_identifier,jurisdiction,organization_classification
ocd-bill/f923ec7b-9d69-47ad-8611-2fdf76b24875,H 1628,An Act to provide a hearing aid tax credit,['bill'],[],190th,Massachusetts,lower
ocd-bill/bfcddf48-ccf2-462d-99f2-a80616ba024f,H 2390,An Act to study and create a Massachusetts substance abuse treatment expansion strategy,['bill'],[],190th,Massachusetts,lower
ocd-bill/406216c2-dfce-41cf-b9e5-f2f03bf9856a,H 1730,An Act relative to double poles,['bill'],[],190th,Massachusetts,lower
ocd-bill/69b730d7-c15e-47dc-8220-6637a893b1d7,H 3055,An Act relative to tort claims,['bill'],[],190th,Massachusetts,lower
ocd-bill/f7294d72-42e0-4c28-9f95-6095e8a931e8,H 1475,An Act providing for property tax relief for small business owners,['bill'],[],190th,Massachusetts,lower
ocd-bill/5e4a0bdc-368c-4370-a19d-d353f5080c6b,S 837,An Act criminalizing the trafficking of carfentanil,['bill'],[],190th,Massachusetts,upper
ocd-bill/4fd7a0b6-8216-42bc-be24-b79e11732ad7,H 1657,An Act authorizing the Division of Capital Asset Management and Maintenance to grant easements to the town of Lanesborough for the reconstruction of the Narragansett Avenue bridge over Lake Pontoosuc,['bill'],[],190th,Massachusetts,lower
ocd-bill/8707f924-bf5a-488c-ae28-2751d251fe2c,SD 2343,CATA financial statements and supplementary information,['bill'],[],190th,Massachusetts,upper
ocd-bill/34fa96ca-e402-49fe-861e-1d3f9624d390,S 463,An Act relative to out of state mooring,['bill'],[],190th,Massachusetts,upper
ocd-bill/695aa02b-0799-4438-927f-07bababbcde4,S 649,An Act relative to premium impact statements,['bill'],[],190th,Massachusetts,upper
ocd-bill/219521c5-3fd4-456b-b50e-3a9b7b280d9d,H 1378,An Act relative to the size of the Group Insurance Commission Board,['bill'],[],190th,Massachusetts,lower
ocd-bill/879d775a-c002-450f-b44a-1d0e73ce3d95,S 684,An Act relative to educating students about the cost of a college degree,['bill'],[],190th,Massachusetts,upper
ocd-bill/f8834fe7-ff2e-465e-875a-1178cdaec6c1,H 876,An Act relative to the rights of foster parents,['bill'],[],190th,Massachusetts,lower
ocd-bill/d55c79e1-5382-4a6a-9276-fc167449ba23,S 886,An Act to protect the privacy of 911 callers,['bill'],[],190th,Massachusetts,upper
ocd-bill/7268f57e-8da7-4288-9b53-11b23e86511b,H 3407,An Act to waive motor vehicle registration fees on a primary passenger vehicle for disabled veterans,['bill'],[],190th,Massachusetts,lower
ocd-bill/b0ffe950-0291-4d64-a6c5-248d4783440a,H 1674,An Act eliminating the Pacheco Law,['bill'],[],190th,Massachusetts,lower
ocd-bill/b9311109-2601-4567-bbb7-abdd6b2c0a97,S 831,An Act promoting homelessness prevention in Massachusetts,['bill'],[],190th,Massachusetts,upper
ocd-bill/d9c07b29-1036-4256-b459-7f33bba0691b,H 883,An Act relative to indigent defense counsel,['bill'],[],190th,Massachusetts,lower
ocd-bill/fdcb7083-ffeb-4b30-95fd-49bbcb90b3a4,H 3241,An Act to improve access to family physicians,['bill'],[],190th,Massachusetts,lower
ocd-bill/b66b27ef-e626-42cf-8b35-81c25258a3c6,H 1335,An Act relative to agency service fees,['bill'],[],190th,Massachusetts,lower
ocd-bill/6edbb787-f094-4d23-a52b-8404ba24b494,S 525,An Act requiring insurance coverage for emergency psychiatric services,['bill'],[],190th,Massachusetts,upper
ocd-bill/45762e4b-5cbe-4a77-a38b-9fa5f8e51989,S 1264,An Act relative to the safety of Alzheimer’s disease patients,['bill'],[],190th,Massachusetts,upper
ocd-bill/3bae9284-8637-4cbf-b5a3-3250594941ee,H 4106,An Act Pardon,['bill'],[],190th,Massachusetts,lower
ocd-bill/7f6cc28f-026d-42e0-88d1-d77327d4407c,SD 2305,An Act to improve patient access to cancer clinical trial programs,['bill'],[],190th,Massachusetts,upper
ocd-bill/9c9a8004-e38d-422a-b48d-4eadb026372d,H 2991,An Act expanding the moral obligation bond program to nonprofit acute care hospitals,['bill'],[],190th,Massachusetts,lower
ocd-bill/c92c4d02-8e76-4781-9083-5cbf9860eb1a,H 4901,An Act Authorizing the City of Salem to grant 1 additional liquor license for the sale of wine and malt beverages not to be drunk on the premises,['bill'],[],190th,Massachusetts,lower
ocd-bill/ac22ef90-b400-4a3a-9150-6c17b6f3d30a,S 1777,An Act relative to structural steel,['bill'],[],190th,Massachusetts,upper
ocd-bill/a5c497aa-5359-4755-8388-cec90cecf6aa,H 823,An Act relative to abuse prevention,['bill'],[],190th,Massachusetts,lower
ocd-bill/ec85ad8a-9a2d-4302-a73a-e2a540cdf8df,S 922,An Act relative to level-three sex offender residency restrictions,['bill'],[],190th,Massachusetts,upper
ocd-bill/b3e64703-5a2a-4eb8-ad2a-50176a588042,H 1535,An Act providing tax relief for rent-burdened individuals and families,['bill'],[],190th,Massachusetts,lower
ocd-bill/4b210953-2d4b-4dc7-87c7-24c5e3dc5ab4,S 736,An Act relative to affordable housing built near wetlands,['bill'],[],190th,Massachusetts,upper
ocd-bill/0eba6066-218c-45dd-83e1-53f235a94e5a,H 2278,An Act requiring automatic external defibrillator devices in health clubs,['bill'],[],190th,Massachusetts,lower
ocd-bill/2861cec3-39b7-4054-a374-e3c3423d1a49,S 409,An Act relative to vegetation management,['bill'],[],190th,Massachusetts,upper
ocd-bill/d27bf66f-68a8-4107-81a3-c64171bba764,S 594,An Act relative to small group eligibility,['bill'],[],190th,Massachusetts,upper
ocd-bill/627801c8-628a-4984-b8f8-aca6b0932867,H 4038,An Act relative to bow hunting for deer in Wompatuck State Park,['bill'],[],190th,Massachusetts,lower
ocd-bill/ab372466-84ee-468d-b808-9126312f5c04,H 3345,An Act relative to exempted pension income,['bill'],[],190th,Massachusetts,lower
ocd-bill/68046f2c-a34d-440e-8dcd-1db8ca02861f,H 2759,An Act relative to personal injuries or property damage from defective public ways,['bill'],[],190th,Massachusetts,lower
ocd-bill/6a4ea030-6c71-4b3e-8073-68afbca697e5,H 627,An Act establishing a student tuition recovery fund,['bill'],[],190th,Massachusetts,lower
ocd-bill/e454c782-29b2-42cd-a9fe-32f4f4bac4e5,S 2286,An Act to provide property tax exemptions for certain nonprofit senior housing in Boxford,['bill'],[],190th,Massachusetts,upper
ocd-bill/7fed6d11-6aab-4fe8-a910-cc4831781688,S 2531,"An Act providing continued investment in the life sciences industry in the Commonwealth

",['bill'],[],190th,Massachusetts,upper
ocd-bill/e5f6aa91-54e2-4a65-acd8-c612c98253f6,H 2634,An Act providing local aid enhancement for the town of Brewster,['bill'],[],190th,Massachusetts,lower
ocd-bill/379c3e5f-e634-4744-b98c-453f233a0c5e,H 2626,An Act relative to the charitable donation of apparently wholesome food,['bill'],[],190th,Massachusetts,lower
ocd-bill/6188d5ba-2aa5-4b72-af02-a704d4a5cbd8,H 3351,An Act promoting Massachusetts artisans,['bill'],[],190th,Massachusetts,lower
ocd-bill/5a1c0152-c4e3-4e6a-a215-483a53a0674c,H 247,An Act relative to school choice,['bill'],[],190th,Massachusetts,lower
